headline,url,title
"‘The Attachment Diaries’ Review: Love, Sick",https://www.nytimes.com/2023/05/25/movies/the-attachment-diaries-review.html,The Attachment Diaries Review
Review: ‘What’s Love Got to Do With It?’ Probably a Lot,https://www.nytimes.com/2023/05/04/movies/whats-love-got-to-do-with-it-review.html,What Review
‘You Can Live Forever’ Review: Do You Love Me Now?,https://www.nytimes.com/2023/05/04/movies/you-can-live-forever-review.html,You Can Live Forever Review
‘A Tourist’s Guide to Love’ Review: A Wearyingly Familiar Trip,https://www.nytimes.com/2023/04/21/movies/a-tourists-guide-to-love-review.html,A Tourist Review
‘Other People’s Children’ Review: True Romance,https://www.nytimes.com/2023/04/20/movies/other-peoples-children-review.html,Other People Review
‘One True Loves’ Review: A Romance Lost at Sea,https://www.nytimes.com/2023/04/13/movies/one-true-loves-movie-review.html,One True Loves Review
‘The Lost Weekend: A Love Story’ Review: When John Lennon Strayed,https://www.nytimes.com/2023/04/13/movies/the-lost-weekend-a-love-story-review.html,The Lost Weekend: A Love Story Review
‘A Thousand and One’ Review: A New York Love Story,https://www.nytimes.com/2023/03/30/movies/a-thousand-and-one-review.html,A Thousand and One Review
‘Your Place or Mine’ Review: Try Neither,https://www.nytimes.com/2023/02/09/movies/your-place-or-mine-review.html,Your Place or Mine Review
"‘Love in the Time of Fentanyl’ Review: Heartbreak, Death and Hope in Vancouver",https://www.nytimes.com/2023/02/02/movies/love-in-the-time-of-fentanyl-review.html,Love in the Time of Fentanyl Review
"‘Pamela, a Love Story’ Review: A Frank Look Back",https://www.nytimes.com/2023/01/31/movies/pamela-a-love-story-review.html,"Pamela, a Love Story Review"
‘In From the Side’ Review: Love and Rugby Play a Losing Game,https://www.nytimes.com/2023/01/19/movies/in-from-the-side-review.html,In From the Side Review
‘After Love’ Review: The Other Woman,https://www.nytimes.com/2023/01/19/movies/after-love-review.html,After Love Review
‘Alcarràs’ Review: Labor of Love,https://www.nytimes.com/2023/01/05/movies/alcarras-review.html,Alcarràs Review
"‘Nelly & Nadine’ Review: An Unlikely Love, an Unlikely Record",https://www.nytimes.com/2022/12/15/movies/nelly-and-nadine-review.html,Nelly & Nadine Review
‘Lady Chatterley’s Lover’ Review: When Connie Met Ollie,https://www.nytimes.com/2022/12/01/movies/lady-chatterleys-lover-review.html,Lady Chatterley Review
‘The Sound of Christmas’ Review: A Gospel Singer Finds Love,https://www.nytimes.com/2022/11/23/movies/sound-of-christmas-review.html,The Sound of Christmas Review
"‘The Inspection’ Review: Boot Camp, a Love Story",https://www.nytimes.com/2022/11/17/movies/the-inspection-review-boot-camp-a-love-story.html,The Inspection Review
‘Bones and All’ Review: You Eat What You Are,https://www.nytimes.com/2022/11/17/movies/bones-and-all-review.html,Bones and All Review
"‘My Policeman’ Review: Two Love Affairs, Equally Tragic",https://www.nytimes.com/2022/10/20/movies/my-policeman-review.html,My Policeman Review
‘About Fate’ Review: Love the One You’re With?,https://www.nytimes.com/2022/09/08/movies/about-fate-review.html,About Fate Review
‘Waiting for Bojangles’ Review: Endless Love,https://www.nytimes.com/2022/09/01/movies/waiting-for-bojangles-review-endless-love.html,Waiting for Bojangles Review
‘I Love My Dad’ Review: A Father Catfishes His Son,https://www.nytimes.com/2022/08/04/movies/i-love-my-dad-review.html,I Love My Dad Review
‘A Love Song’ Review: When Moving Forward Means Looking Back,https://www.nytimes.com/2022/07/28/movies/a-love-song-review.html,A Love Song Review
‘Alone Together’ Review: Finding Love in a Pandemic Retreat,https://www.nytimes.com/2022/07/21/movies/alone-together-review.html,Alone Together Review
‘Art of Love’ Review: An Erotic Male Fantasy in Puerto Rico,https://www.nytimes.com/2022/07/21/movies/art-of-love-review.html,Art of Love Review
‘The Wheel’ Review: Songs of Love and Hate,https://www.nytimes.com/2022/07/21/movies/the-wheel-review.html,The Wheel Review
‘Thor: Love and Thunder’ Review: A God’s Comic Twilight,https://www.nytimes.com/2022/07/07/movies/thor-love-and-thunder-review.html,Thor: Love and Thunder Review
‘Both Sides of the Blade’ Review: Who Do You Love?,https://www.nytimes.com/2022/07/07/movies/both-sides-of-the-blade-review.html,Both Sides of the Blade Review
‘Fire of Love’ Review: A Volcanic Romance,https://www.nytimes.com/2022/07/06/movies/fire-of-love-review.html,Fire of Love Review
"‘Love & Gelato’ Review: A Young Girl, Transfigured by Italy",https://www.nytimes.com/2022/06/22/movies/love-gelato-review.html,Love & Gelato Review
‘Stay Prayed Up’ Review: Spreading the Gospel of Love,https://www.nytimes.com/2022/06/16/movies/stay-prayed-up-review.html,Stay Prayed Up Review
"‘Benediction’ Review: A Poet’s Life, in Love and War",https://www.nytimes.com/2022/06/02/movies/benediction-review.html,Benediction Review
‘Dinner in America’ Review: A Punk-Rock Love Story,https://www.nytimes.com/2022/05/26/movies/dinner-in-america-review.html,Dinner in America Review
‘In a New York Minute’ Review: Love or Freedom?,https://www.nytimes.com/2022/05/03/movies/in-a-new-york-minute-review.html,In a New York Minute Review
‘Anaïs in Love’ Review: Portrait of a Woman on the Run,https://www.nytimes.com/2022/04/28/movies/anais-in-love-review.html,Anaïs in Love Review
‘I Love America’ Review: The Gauche Rituals of Modern Romance,https://www.nytimes.com/2022/04/28/movies/i-love-america-review.html,I Love America Review
